c1,c2,c3,c4,c5,c6,c7,c8
1.4,-1.1,0.5,3.8,0,1.1,-6.2,Fair
0.3,2.1,1.6,9.7,0.7,0.1,0.2,Good
-1.2,-1.3,0.7,22.3,0.1,1.3,7.4,Very Good
-0.7,-2.3,5.7,1.1,1.3,0.9,12.7,Fair
-0.3,-1.9,0.8,0.3,0.4,0.6,0.6,Excellent
0,-6.5,2.7,0.2,1,0.8,-5.2,Very Good
-1,,0.2,3,5.1,3.4,2.1,Good
1.5,5.7,1.5,0.6,0.2,0.3,0.7,Poor
0.1,-7.8,1.4,4,3.8,0.5,7.9,Fair
-0.3,2.2,1.3,9,0.4,3.4,6.7,Very Good
-0.1,-2.5,0.6,2.9,1,0.6,-13.4,Very Good
-1.5,-7.6,0.4,0.4,0.1,0.8,-18.2,Good
-0.1,-9.1,1.6,1.3,1.1,1.3,-9.6,Excellent
0.1,10.9,6.7,0.9,0.5,0.4,-15.7,Excellent
0.2,-3.3,0.9,4.4,3,0.3,-10.3,Excellent
,-2.3,1.8,0.1,0.7,0.7,20.8,Very Good
1.1,7.1,1.7,1.4,0.3,0.2,14,Fair
-0.9,-2.3,1.5,0.3,0.2,0.2,-1.6,Very Good
-1.5,,0.3,0.2,0.2,0.2,-1.6,Fair
-0.7,-10.4,7.1,1.2,0.6,1.1,4.7,Excellent
0.5,-4.9,0.8,85.7,0.3,0.5,-24.5,Fair
-0.8,-0.6,1.4,0.2,0.2,0.3,-12.4,Fair
0.5,4.2,0.5,1,0.5,1.7,0,Poor
-0.1,-2.7,5,0.1,0,,-0.3,Good
0.4,2.1,2.9,0.3,0.6,0.1,-19.2,Good
-0.3,-5.2,0.6,0.4,0.4,0.5,3.7,Good
-0.6,,0.7,0.7,0.6,,5.1,Fair
-0.9,4.4,2.8,0.1,0.6,2.3,1.6,Good
-1.3,,0.2,0.3,1.4,2,9.8,Fair
-1.7,2.8,1.5,0.3,0,1.5,-22.8,Fair
0.6,,1.2,66.6,0.3,1,-16.4,Fair
0.4,-8.7,1.7,0,0.5,0.9,5.3,Excellent
-0.7,-3.9,1.8,0,0.3,,6.9,Good
-0.1,-3.5,1.7,6.9,0,1.8,-20.1,Very Good
0.1,9.1,0.7,80.5,0.5,1,-11.5,Fair
0.9,-5.2,3,2,0.5,0.7,8.7,Very Good
-1.3,,0.2,23.7,0.9,2.3,-8.5,Poor
-0.9,-2.8,0.9,0.5,0.4,0.1,12.9,Good
-0.4,5.9,1,6.9,1.2,0.2,-0.6,Very Good
-0.3,-3.6,7.9,0,2.5,0.8,-3.1,Excellent
2.2,-8.7,3.3,1.7,0.8,,-3.8,Poor
0.9,-2.4,0.5,22.8,0.6,2.5,-7,Very Good
-0.2,7.2,0.5,1,0.2,0,-9.2,Poor
1.3,0.4,1.6,6.2,0.1,2.7,-0.4,Good
1.5,-4.6,1.1,0.9,3.9,1,19.7,Fair
-0.9,-10.6,1.2,9.3,0.2,0.9,-4.2,Excellent
-0.2,-4.8,3.1,6.3,1,0.7,10.6,Fair
1.7,1.3,0.4,0.3,0.2,0.9,-5.2,Excellent
-1.6,-5.5,1,3.3,0.8,0.9,13.1,Poor
0.3,3.2,1.7,0.1,1,1.1,-3.4,Poor
0.6,4.5,0.6,0.1,1.7,0.6,0.6,Fair
-3.4,9.4,4.6,0.1,1.3,0,-6.3,Excellent
-0.1,4.7,0.5,0.3,0.8,0.9,-10.3,Good
-1.5,-0.7,3.2,0.3,1.1,0.9,5.6,Very Good
3.7,3.8,3.7,2.1,0.3,0.2,-11.2,Good
0.8,-7.2,1,0.1,1.5,1.3,-20.9,Excellent
-1.1,-0.1,0.9,0.1,2.1,0.2,-5,Fair
-0.2,3.4,3.2,0.8,0.7,0.3,-0.3,Good
0,,1,2.7,0.3,2.1,0.1,Very Good
1,2.2,0.2,3.4,0.4,0.2,-5.4,Good
-1.1,0,3.5,0.1,0.3,1.6,1.6,Very Good
0,1.4,0.1,0.4,0.9,1.7,0.9,Excellent
-0.8,1.2,1.2,2.6,0.1,0.6,-2.7,Excellent
0,4.8,0.7,2.3,0.6,0.7,-8.3,Fair
0.3,-7.8,1.8,8.6,0.7,0.3,25.6,Excellent
-1.7,-0.7,0.5,2.1,0.7,0.5,-10,Good
-2.1,1.7,0.4,0.8,0.6,,-9.9,Fair
-0.7,1.7,0.2,0.3,0.2,0,25.3,Good
-1,-0.7,7.5,0,0.3,,-9.3,Fair
0.5,3.8,3.2,13.4,0.6,0,-2.8,Excellent
0.7,11.2,0.3,0.1,1.6,2.1,8.2,Fair
0.7,-3.1,7.4,0.2,,,-5.5,Fair
-1.6,-2.4,0.5,2.7,0.3,0.6,-7.2,Very Good
-0.3,-6,4.7,0.3,1.4,0.6,-2,Fair
0,-5.1,0.6,2,0.7,0.3,-6.1,Very Good
0.8,-4.3,4.4,9.9,2.5,1.6,13.3,Very Good
0.7,-4.3,1.2,6.2,0.7,0.4,-21.4,Very Good
-0.5,0.2,0.4,4.8,0.5,0,-19.1,Poor
0.1,5,3.5,18.5,1.1,4.2,-11.1,Very Good
0.1,1,3.1,0.1,2.7,0.5,-1,Fair
,-4,0.1,13.5,,0.2,-7.2,Very Good
0.2,-0.5,1,0.1,1.6,2.8,-1.9,Very Good
0.8,-7,5.1,0,0.4,0.8,-3,Excellent
-0.9,2.6,0.4,0.9,0.3,1,13.9,Excellent
1,2.6,1.5,1.2,0.8,0.5,-2.3,Very Good
-2,-1.2,0.5,0.2,0.1,0.2,-12.1,Good
-0.4,0.8,0.6,0.1,0.8,,16.8,Poor
-0.4,,2,0.7,3,2.5,-3.1,Fair
,-4.8,1,3.1,0.8,1,2.7,Good
0.5,6,2,0.9,1.7,2.2,12.1,Very Good
0.1,-3.1,0.8,0.5,0.5,0.8,-8,Good
1.5,-9.5,0.4,0.3,0.4,0.2,-4.2,Very Good
0.1,,0.3,2.7,2,0.8,10.5,Very Good
0.6,5.5,0.1,0.4,0,1,-8.2,Very Good
0.5,-1.6,1.9,0,1.3,1.5,6.1,Excellent
-0.2,2.9,0.9,0.3,3,1.7,0.7,Poor
0.8,5.9,0.8,0.9,0.2,1.7,-8.4,Very Good
-0.8,0,0.9,0.1,0.6,0.2,-12,Good
-0.9,-6.3,3,0.4,0.2,,-3.3,Fair
0.6,7.3,1.8,1.1,1.8,3.1,-4.8,Excellent
0.2,-5.7,1.6,0.4,0.8,,13.4,Very Good
0.5,-6.6,1.4,0.1,0.4,1.4,-3,Fair
-0.7,4,0.6,1.1,0.2,2.3,8,Very Good
-0.2,-0.8,4.4,3.9,0.9,0.4,8.5,Good
-0.8,10.1,2.5,2.3,2.6,0.1,1.3,Good
0.9,-1.2,1.7,0.2,0.1,0.3,-0.7,Fair
-0.9,,1.4,4.5,,0.2,-11.5,Fair
1.7,,1.4,40.8,0.6,0.3,-6.2,God
0.6,,0.5,0.5,0.6,,-20.5,Good
-0.2,-9.3,2.3,0.1,0.2,,17.4,Fair
-0.8,0.1,0.5,0.1,1.4,0.7,-14.8,Fair
1.9,-7.6,0.9,0,4.1,1.8,1.6,Excellent
-2.2,12.3,2.2,5.2,0.3,3.1,9.9,Very Good
1.5,-10,0.5,0,0.9,0.4,5.3,Good
-0.5,4.1,6.3,4.3,1.1,0.7,-3.3,Poor
-1.5,-2.8,9.2,0.4,0.6,0.1,10.3,Fair
1.1,0.9,0.7,0,0.2,0,3.4,Fair
-1.6,2.9,0.9,1.2,0.4,,12.4,Poor
1.2,-1.7,0.6,1.9,0.3,0.3,12.4,Good
0.4,-7.3,1.7,0.5,1.3,1.9,4,Very Good
0.4,1.2,0.7,14.6,0.2,0,-11.6,Very Good
-0.5,0.2,0.4,1.1,0.7,1,2,Fair
0.5,-8.8,0.4,6.6,2.6,1,7.6,Fair
-1.3,-0.9,0.5,0.3,,0.2,-1.1,Fair
0.9,-6.5,3.9,4.4,2.7,0.2,8.2,Good
-0.2,2.6,0.4,0.1,2.9,1.2,-5.3,Very Good
-0.6,-5.9,2.2,0.3,0.6,0,10.3,Excellent
,-0.6,4.6,0.7,0.6,0.1,-3.2,Fair
1,,1.9,0.1,0.9,,-12.7,Good
1.5,7.5,1,0.2,1.3,,11.2,Very Good
0.3,-4.1,5,0.7,3,0.6,6.9,Fair
0,1.7,1.2,0.1,0.6,0.3,-8,Good
-1.5,4.5,1.6,1.1,0.9,3.5,-4.4,Good
0.6,-6.3,3.8,4.1,0.5,0.3,11.2,Fair
-1.7,,2,2.5,0.9,1.7,5.1,Fair
-0.2,1.1,1.1,2.2,1,1.3,-16.8,Very Good
-0.5,4.8,1.4,0.3,1.5,0.2,5.7,Very Good
-0.8,-4.6,1,0.3,2.2,1.1,-6.7,Very Good
-1,-8.2,1.2,1.5,2.9,,0.6,Very Good
-1.3,7.7,4.2,7.1,1.9,0.2,20.9,Very Good
0.2,-4.6,1.3,1.2,1.3,0.9,0.3,Fair
-0.6,-1.8,0.9,0.4,0.1,4.9,-5.6,Good
-0.2,-4.2,1.8,0.7,0.6,2.7,-10.3,Poor
-0.6,3.7,1.7,0.1,0.8,0.4,5.4,Fair
0.6,-3.2,1.9,12.7,0.2,2.7,-4.7,Fair
-1.7,-6.5,4.9,15.6,0.5,0.6,2.4,Very Good
-2.7,-3.7,0.6,1.6,1.3,0.2,7.1,Very Good
0.4,,4.1,1,1,0.4,-17.3,Good
-1.4,-1,4.5,1.9,0.2,0.4,2.5,Fair
1.6,4.6,0.4,0.3,0.8,1.9,-3.1,Poor
0,-1.4,2.5,0.6,2.1,0.6,-6.9,Poor
-1.5,1.3,3.8,0.3,2.5,0.6,-4.3,Very Good
-1,2.3,0.7,11.5,3.1,1.3,8.1,Good
1,-5,1.5,4.5,0.7,0.6,2.8,Good
-1.2,,2.8,0,1.3,0.5,1.7,Excellent
0.1,-2.2,0.7,41.6,1.6,3.1,18.6,Good
0.5,-2,1.1,0.9,0.4,0.5,-12.7,Poor
-0.2,2.7,3.6,0,0.7,1.6,2.2,Fair
0.8,1.2,0.6,0.1,0.1,1.6,-3.7,Excellent
1.5,0.9,3.8,0.9,1,1,4.8,Poor
-0.5,-12.3,1.2,0,0.5,0,4.3,Excellent
0.7,-2.2,1.3,2.5,0.1,0.7,-3.3,Poor
-0.3,,1.1,0.2,3.1,,9.5,Poor
-1.2,,0.9,1.3,0.1,0.8,-0.4,Very Good
-0.1,-0.1,0.2,0.2,0.4,0.4,5.6,Good
-1,-5.1,0.9,5.1,4.8,1.7,4.7,Very Good
-2.4,,0.7,0.9,0.6,0.4,10.8,Poor
-0.3,,1,7.2,0.5,0.5,5.8,Fair
-1,-14.5,0.8,28.6,0.9,0,-4.5,Very Good
-1.3,,1.1,4.9,0.4,0.9,4.3,Poor
0.6,5.7,0.9,0.2,2.8,0.8,0.3,Fair
0,10.3,2.8,0.3,0.2,0.4,21.5,Fair
0.1,11.4,0.6,0.8,0.5,,18.6,Good
-1.3,5.2,2.4,0.8,0.7,,4.9,Good
-0.1,,0.6,1.4,1.2,0,-6,Excellent
0.9,-3,0.4,1.5,1,0.3,12.4,Good
-1.2,-2.9,1.1,81.2,0.3,2.3,-23.2,Good
-0.1,-6.5,1.9,3.6,0.1,0.7,-2,Good
0.3,-5.8,1.8,6.2,6,1.2,5.2,Fair
-2.9,-1.1,1.5,5.9,0.3,0.4,0.2,Good
-0.9,5.3,2.2,0.6,,2.9,-11.3,Fair
-1.8,-10.6,0.5,20.1,0.6,0.3,-6.7,Fair
0.7,0.3,4.7,6.6,0,0.2,-1.8,Very Good
-0.2,2.7,0.5,0.1,0.9,,14.3,Fair
1.7,-0.9,0.4,2.3,0,1.3,-12.7,Fair
-2.7,1.2,1,1.7,0.4,0.2,0.9,Poor
1.2,-0.7,1,68.8,0.1,0.6,-26.8,Excellent
-0.9,-7,0.4,2.6,2.5,,-2.3,Excellent
1.3,-5.1,1.9,0.4,1.9,0,-6.2,Fair
0.9,-7.6,2.5,1.4,1.4,0.8,-9.2,Fair
0.8,4.2,0.6,5.1,0.6,0.3,10.1,Fair
1,-2,2.9,1.3,0.9,0.3,5.3,Very Good
0.6,6,0.4,8.3,0.1,,-8.8,Very Good
-0.7,1.4,2.1,6.9,0.6,0.2,1.4,Excellent
-1.3,-6.1,0.2,0.1,1,0.1,-2.2,Excellent
-2.2,1.3,0.3,35.7,0,,-7.6,Very Good
-0.1,-5.9,0.9,0,0.3,,-13.5,Very Good
-1.4,1,1.5,2.8,0.2,0.1,12.5,Very Good
1,-1.6,0.6,0,1.4,0,6,Excellent
0.3,0.4,4.6,0.1,0.3,2.1,-2.6,Excellent
0.7,0.6,0.3,0.1,0.1,0.4,7,Very Good
0.2,3.4,1,12.2,0.3,0.1,0,Poor
0.5,3.9,4.3,0.3,0.6,0.9,-0.8,Poor
0.3,-2.6,3,0.2,1,0.6,-4.2,Very Good
-0.3,,0.2,0.7,1.7,0.7,12.5,Fair
-1.8,6.4,2.9,2.4,0.4,1.8,9.4,Fair
-0.5,,2.1,0.4,1.9,1.7,4.1,Poor
0.1,-3.6,0.2,2.6,0.3,1,-9.1,Fair
1.2,-1.1,0.1,6,0.6,1,-0.3,Very Good
0.1,6.6,0.1,6.8,0.5,1.5,8.1,Poor
0,5.4,3,0.1,1.5,,-14.7,Fair
-2.7,-7.8,1.2,2.8,2.6,0.2,-5.8,Very Good
-0.9,-1.8,1.7,5.3,0.1,3,0.8,Very Good
-0.4,,7.9,0,1.4,,-19,Fair
0,3.9,0.4,0.2,0,3.2,3,Very Good
-0.2,6.4,0.3,8.6,1.3,,-16.8,Fair
0.8,-7.1,0.6,3.8,0,0.5,-5.2,Excellent
-2,6.2,0.3,0.6,1,0.9,-0.5,Fair
-0.7,-2.4,1.1,67.9,0,0.8,13.8,Fair
-2.1,5.3,0.5,0,0.1,2.2,4.7,Excellent
-0.2,-5,0.4,0,1.1,3.2,-11.9,Very Good
-1,-4.2,0.3,14.6,1.1,0,-7.3,Poor
1.8,-0.4,3.7,0,0.5,0.8,7.5,Good
0.5,5.6,0.8,0,0.5,0.8,13.3,Good
0.6,,0.5,26.7,,0.1,4,Poor
0.4,3.6,2.8,0.6,0.3,0.2,5.2,Fair
1,-2.9,2.4,0.1,2.5,0.8,-9.6,Very Good
-0.5,-2.7,0.5,0.9,3.2,1.9,6.2,Good
0.5,2.3,2.5,3.1,0.3,1,9.9,Excellent
-0.2,6.8,1.3,0.2,0.3,2.4,-14.6,Very Good
-1.6,-1.1,2.8,0.1,0.2,0.8,1,Excellent
-0.1,-13.7,0.5,0.3,0.3,1.7,4.8,Poor
0.6,-0.9,0.5,0.5,1.5,,-9.6,Good
-0.4,5.6,1.9,8.5,1.9,0.6,2.6,Very Good
,-3.7,0.1,2.8,0.1,1.4,-6.8,Excellent
0.7,5.5,1.1,0,0.9,1.6,-36.4,Excellent
-0.6,-2.4,5.1,0.2,0.4,0.3,1.1,Good
-0.7,,1.3,0.1,0.1,0.1,-8.3,Good
0,,0.2,10.9,1.9,0.8,6,Fair
,7.4,3.1,25.1,0.4,0.8,10.4,Very Good
1.9,-3.4,0.6,4.5,0.5,0.5,1.5,Good
1.1,-1.6,0.5,4.4,0,0.8,-10.3,Excellent
0,2.7,2.4,1.5,0.7,0.3,0.3,Fair
-0.2,-2,0.6,1.7,0.3,0.6,1.7,Good
1.1,8.6,1.8,4.6,1.6,1.6,-7.2,Good
-0.4,-2.8,2.8,1.1,0.7,0.4,-6.1,Fair
-0.1,-6.1,3.9,9.5,1.4,2.2,-18.7,Good
-0.6,-1.6,3,1.5,0.2,0.7,20.4,Fair
1,3.9,1.3,0.6,0.6,0.2,3.1,Very Good
0.5,-7,1.3,1.1,1.2,,25.1,Excellent
-0.7,3.4,7.8,0.5,0.1,0.4,6,Excellent
-0.4,11.2,1.4,0,1.9,1.2,-8.7,Good
-0.2,-2.8,0.7,4.5,1,1,-5.2,Good
-1.2,-3.6,0.2,0.6,0.6,5,2.6,Good
-2.1,6,1.6,2,0.8,0.4,8.7,Very Good
-0.4,5.2,0.2,2.6,0.6,0.2,1.6,Excellent
2.8,-0.4,3,1.1,0.1,,-17.6,Fair
1.3,2.4,1.1,12.9,1.4,1.1,17.6,Poor
0.3,,7,0.8,,1,-7.3,Very Good
0.8,5.4,0.4,3.6,0.9,2.3,9.2,Very Good
-1.7,-1.4,0.6,0,0.3,2.8,-8.8,Good
0.6,3,1.2,2.9,0.8,1.9,2.6,Fair
1.1,,8,0.6,0.8,,-7.7,Very Good
0.2,2.6,0.4,1.9,0.1,1.5,3.2,Fair
-0.5,-2.5,0.9,3.3,0.2,4,-14.4,Very Good
0.8,1.6,3.2,0.1,1.4,0.8,3.1,Very Good
0.1,7.8,0.9,1.4,0.5,0,1.2,Good
0.5,,1.2,0.4,1.1,0.3,-21.2,Very Good
-2,-6.1,5.1,0.5,3.2,0.7,1.3,Fair
0.6,-2.6,0.2,0.2,0.9,0.2,19.4,Very Good
-0.3,-10.8,0.2,1.3,0.4,0.1,-18.8,Very Good
-0.3,,0.3,3.4,1.1,1.2,4.1,Fair
0.2,-10.5,1.3,35.9,0.3,0.8,-16.2,Good
-0.5,5.1,2.6,2.2,0.1,0.1,-27.7,Excellent
-2.9,-4.2,0.8,1.7,6,2.2,2.7,Fair
-0.7,4.5,0.6,0.1,1.6,0.4,-2,Good
0.8,2,0.8,0.2,1.7,3.6,-11.2,Good
0.5,2.9,0.7,0.1,0.3,1.2,11.6,Good
-1,1.1,4.3,1.1,0.9,4.5,-13.2,Very Good
0.6,-3.6,0.7,0.5,2.1,0.6,3.7,Excellent
-1.4,-5.3,1.8,0.2,0.6,2.2,-4.2,Very Good
0.8,0,1.1,0.2,0.5,0.4,-2.8,Fair
1.6,-0.4,3.3,2.2,0.2,0.1,6.6,Very Good
-0.8,2.8,8.5,0.8,0.1,1.1,7.8,Very Good
-1.1,-3.6,2.1,4.6,0.2,,-17.3,Fair
-1.2,5.1,1.9,0.9,1.2,,16.2,Excellent
-0.5,-0.6,0.2,0.1,0.2,,-4.5,Good
-0.4,1.6,3.1,0,2.4,0.7,-2.6,Very Good
-2.6,4.6,0.2,1.3,2,0.6,-3,Good
-0.7,-1.8,0.3,0.4,0.6,0.1,-0.7,Excellent
1,3.9,2.1,0.3,1,0.6,-0.9,Excellent
-0.3,7,0.7,0.1,0.1,0.3,14.8,Excellent
-0.6,-0.6,7,2.1,0.6,0.2,-6.9,Good
0.8,-4.3,1.4,3.6,0.4,1,-8.4,Fair
2.2,2,1.5,0.1,0,,26.5,Fair
0.5,4.6,1.2,9.7,,0.9,-10.3,Fair
1,0.4,0.3,0,0.4,0.6,2,Fair
1.1,-4.1,0.2,1.8,1.1,1.8,-2.5,Good
0.4,-5.9,2.2,0,2.2,1.7,17.7,Fair
0,-6.4,1.2,0.3,0.8,0,1.5,Fair
-0.1,5.8,19.8,1.9,0.1,1.1,26.5,Poor
-1.5,-0.1,1,0.2,0.6,1,-15.4,Excellent
0.8,4.4,0.7,4.1,1.8,0.8,5.2,Good
0.8,-5,2,0.6,1.7,1.9,0.1,Very Good
1.6,3.5,0.3,0.1,0.3,0.4,-8.9,Very Good
-0.8,1.5,0.6,2,0.1,0.6,2.4,Fair
0.1,-3.2,0.4,0.1,0,0.2,-16.4,Good
-0.9,-8.1,0.5,72,0.2,,-10.4,Fair
-0.9,-6.6,1.7,0.2,2.3,,9.7,Very Good
-1.2,-7.9,1,0.9,0.7,0.4,5.9,Poor
1.1,-3.2,0.6,1.4,0.2,0,2,Very Good
-1.6,-8.1,0.1,0,,1.2,27.5,Very Good
1.1,-6.4,0.6,28.3,0.1,1.1,2.3,Good
-1.4,,0.9,0,1.3,0,-0.3,Poor
0.6,0.7,2,232.3,0.8,0.1,-3.4,Excellent
-0.8,-2.8,0.5,0.1,2.6,0.4,3.8,Very Good
-0.6,-11.7,0.1,1.3,0.2,,-0.3,Excellent
-0.9,-4.3,0.9,0.4,0.5,2,0.9,Good
-0.6,6.9,2,1.1,1.7,1.6,5.9,Good
-0.8,-2.4,1.1,4.9,0.5,0.6,9.9,Fair
0.2,,0.2,1.6,3.4,0.6,6.6,Fair
0.2,-2.7,1.4,2.2,0,1.2,11.4,Fair
-0.5,-7.9,0.3,0.6,0.5,0.2,-15,Good
-1.3,-1.3,1.6,0.5,0.9,,-17,Very Good
-0.4,1.1,0.5,2.5,0.8,2.1,3.2,Fair
-1.3,-0.8,2.7,33.6,0.1,1.6,4.7,Good
0.9,5.6,0.3,54.3,0.4,,7.3,Fair
0,0.6,7.2,0.3,6.8,1.8,7.7,Fair
-0.1,-2.5,0.9,147.7,0.6,1.2,7.7,Very Good
0.8,5.6,1.4,0.1,3,6.2,-6.7,Good
1.4,-3.3,2.5,3,0.5,0.3,18.1,Excellent
0.4,-2.3,1.8,0.5,0.1,1.2,6.3,Fair
0.1,5.1,1.6,3,0.8,0,-8.1,Poor
-1,3.9,2.7,0,0.2,0.4,-7.6,Fair
0.6,,3.3,0.5,0.3,1.2,8.7,Fair
-0.1,,0.9,1.6,4.8,0.4,2.8,Good
0.4,-2.2,1.2,0.7,0.4,1.6,5.8,Excellent
-0.4,2.5,3,11.8,0.9,1.1,4.6,Poor
-1.8,-2.7,1.9,0.4,0.6,,2,Very Good
-0.1,0.1,2.6,13.8,0.3,1.5,6.4,Poor
1.2,-2.2,0.2,0,1.7,0.9,-2.4,Very Good
-1.8,-2.4,0.2,2.4,0.5,0.9,7.5,Very Good
-0.8,8.6,1.4,0.4,0.5,1.2,-8.8,Fair
0.5,4.1,0.8,59.3,1.4,,-7.8,Good
-0.6,4.9,1.4,1.1,0.5,1.1,8.5,Fair
,3.1,2.2,0.7,1,2.2,15.6,Poor
0.3,-2,0.5,1.6,2.4,2.4,4.6,Fair
-0.2,-3.4,1.3,0.1,0.1,1.3,-9.5,Good
0.9,-5.9,0.1,27.3,0.4,0,-18.1,Very Good
0.3,3.7,2.7,0,3.7,0,7,Fair
0,,0.5,0.3,0.8,0,-10.6,Good
0.3,0.9,5.5,0,0.3,1.8,2.1,Excellent
1.7,,1.2,0.8,0.2,0.3,-2.2,Fair
0.2,-1.2,1.9,33.2,0,,-5.2,Fair
1.6,2.9,0.4,7.1,1.5,0.5,1.7,Excellent
0.3,2.4,3.9,6.3,0.9,0.7,13.1,Poor
2,6.3,1.3,0.1,0.1,0.1,6.1,Very Good
0.1,,2.3,0.7,0.5,,9.4,Very Good
-1.3,-9.7,8.3,0.5,1.5,0.9,-13.2,Fair
,-1.7,2.7,1.2,2.1,0.1,8.3,Excellent
-0.2,5,0.5,2.4,4.5,0,-1.9,Poor
-1.2,0.5,1.5,7.7,1.4,1,1.6,Poor
-0.5,6.5,0.9,3.5,0.2,0.5,9.5,Poor
0,-6.4,0.7,2.7,0.3,0.7,8,Fair
0.3,3.6,1.4,6.5,0.7,3.6,20.4,Excellent
0.9,0.3,7,6.3,2.8,1.8,1.1,Fair
-2.1,7.7,0.7,1.4,0.5,0,-5.7,Excellent
-0.3,-0.1,0.5,0.2,1.6,0.8,-2,Good
-0.2,-0.3,0.6,0.3,0.2,0.8,-4.7,Excellent
-1,3.2,4,48.5,0.1,1.7,27.8,Fair
0,-4.8,0.9,0,0.3,0.9,3.5,Very Good
0.8,-6.1,0.5,2.4,0.2,1.3,9.4,Good
0.4,-2.8,1,0.5,,2.3,-0.3,Fair
1.5,1.8,3.2,0.5,0,0.4,12.5,Excellent
1.2,2.1,0.2,0.7,0.3,0.8,5.8,Good
-1.8,3.3,2.5,0.6,2,0.4,1.6,Very Good
-0.5,2.5,1.7,0,0.9,0.2,26.6,Good
-0.7,-4.5,0.4,11.3,0.3,1,14.8,Very Good
-0.9,-1.5,0.9,1.1,0.9,2.2,8.8,Good
-0.2,-6.8,2.8,0.6,1,3.1,15.4,Poor
,8.7,0.2,0.3,0.1,0.3,16.7,Fair
,-6.2,1.8,0.2,3.5,0.3,-0.8,Fair
0.1,2.5,0.2,1.9,1,1,-10.8,Fair
0.5,4.9,1.7,0.4,0.9,,-0.2,Very Good
-1.3,3,3.4,2.7,1.2,1.2,3.7,Very Good
-0.2,-0.3,0.5,13.6,0.2,3.1,6.5,Good
-0.1,3.7,2.9,0.6,0,0.4,-3.1,Poor
-0.6,-0.6,0.3,0.9,0.7,2.9,0.1,Very Good
